"Common Name","Scientific Name","Scientific Name_url","ESA Listing Status","ESA Listing Date","Current Range Combined States"
"Aaa water treader bug","Cavaticovelia aaa","https://ecos.fws.gov/ecp/species/8146","Species of Concern",,"HI"
"Aalbu's cave pseudoscorpion","Archeolarca aalbui","https://ecos.fws.gov/ecp/species/6406","Species of Concern",,"CA"
"Aardhals springsnail","Pyrgulopsis aardahli","https://ecos.fws.gov/ecp/species/4789","Species of Concern",,"CA"
"Aase's onion","Allium aaseae","https://ecos.fws.gov/ecp/species/2608","Species of Concern",,"ID"
"Abajo daisy","Erigeron abajoensis","https://ecos.fws.gov/ecp/species/6559","Resolved Taxon",,"UT"
"Abbott's bush-mallow","Malacothamnus abbottii","https://ecos.fws.gov/ecp/species/8385","Species of Concern",,"CA"
"Abellan hydropsyche caddisfly","Ceratopsyche abella","https://ecos.fws.gov/ecp/species/2321","Species of Concern",,"OR"
"Aboriginal Prickly-apple","Harrisia (=Cereus) aboriginum (=gracilis)","https://ecos.fws.gov/ecp/species/2833","Endangered","11-25-2013",
"Absaroka beardtongue","Penstemon absarokensis","https://ecos.fws.gov/ecp/species/3365","Resolved Taxon",,"WY"
"Acadian Flycatcher","Empidonax virescens","https://ecos.fws.gov/ecp/species/9413","Species of Concern",,
"A Cave Obligate amphipod","Stygobromus obscurus","https://ecos.fws.gov/ecp/species/10280","Resolved Taxon",,
"A Cave Obligate Harvestman","Cryptobunus cavicolus","https://ecos.fws.gov/ecp/species/10365","Resolved Taxon",,
"A Cave Obligate Harvestman","Hesperonemastoma packardi","https://ecos.fws.gov/ecp/species/10367","Resolved Taxon",,
"A Cave Obligate Pseudoscorpion","Tyrannochthonius troglodytes","https://ecos.fws.gov/ecp/species/10369","Resolved Taxon",,
"A Cave Obligate Shrimp","sphaeromicola moria","https://ecos.fws.gov/ecp/species/8917","Resolved Taxon",,
"Acoma fleabane","Erigeron acomanus","https://ecos.fws.gov/ecp/species/8479","Resolved Taxon",,"NM"
"Acorn rams-horn","Planorbella multivolvis","https://ecos.fws.gov/ecp/species/3420","Species of Concern",,"MI"
"Acornshell","Epioblasma haysiana","https://ecos.fws.gov/ecp/species/7000","Resolved Taxon",,"AL, TN, VA"
"Acuña Cactus","Echinomastus erectocentrus var. acunensis","https://ecos.fws.gov/ecp/species/5785","Endangered","10-31-2013","AZ"
"Acute elimia","Elimia acuta","https://ecos.fws.gov/ecp/species/3424","Under Review",,"AL, TN"
"Adder's-mouth","Malaxis brachypoda","https://ecos.fws.gov/ecp/species/4890","Species of Concern",,"CA"
"Addison's virgin's bower","Clematis addisonii","https://ecos.fws.gov/ecp/species/3817","Species of Concern",,"VA"
"Adobe desert-parsley","Lomatium concinnum","https://ecos.fws.gov/ecp/species/273","Species of Concern",,"CO"
"Adobe navarretia","navarretia nigelliformis ssp. nigelliformis","https://ecos.fws.gov/ecp/species/6287","Species of Concern",,
"Adobe sanicle","Sanicula maritima","https://ecos.fws.gov/ecp/species/1075","Species of Concern",,"CA"
"Adobe yampah","Perideridia pringlei","https://ecos.fws.gov/ecp/species/2498","Resolved Taxon",,"CA"
"Adriatic sturgeon","Acipenser naccarii","https://ecos.fws.gov/ecp/species/9747","Endangered","09-04-2014",
"Adytum megalagrion damselfly","Megalagrion adytum","https://ecos.fws.gov/ecp/species/4993","Species of Concern",,"HI"
"A`e","Zanthoxylum dipetalum var. tomentosum","https://ecos.fws.gov/ecp/species/2297","Endangered","10-10-1996","HI"
"A`e","Zanthoxylum hawaiiense","https://ecos.fws.gov/ecp/species/4645","Endangered","03-04-1994","HI"
"A`e","Zanthoxylum oahuense","https://ecos.fws.gov/ecp/species/7998","Endangered","10-18-2012","HI"
"A`e","Zanthoxylum semiarticulatum","https://ecos.fws.gov/ecp/species/595","Resolved Taxon",,"HI"
"A`e","Zanthoxylum skottsbergii","https://ecos.fws.gov/ecp/species/732","Resolved Taxon",,"HI"
"A Freshwater Snail","Pyrgulopsis bedfordensis","https://ecos.fws.gov/ecp/species/10249","Resolved Taxon",,
"African coelacanth","Latimeria chalumnae","https://ecos.fws.gov/ecp/species/10533","Threatened","04-28-2016",
"Agate rocksnail","Leptoxis clipeata","https://ecos.fws.gov/ecp/species/8255","Resolved Taxon",,"AL"
"Agave Threeband","Humboldtiana agavophila","https://ecos.fws.gov/ecp/species/10021","Resolved Taxon",,
"`Ahakea","Bobea sandwicensis","https://ecos.fws.gov/ecp/species/4908","Resolved Taxon",,"HI"
"`Ahakea","Bobea timonioides","https://ecos.fws.gov/ecp/species/7320","Species of Concern",,"HI"
"Ahart's dwarf rush","Juncus leiospermus var. ahartii","https://ecos.fws.gov/ecp/species/7585","Species of Concern",,"CA"
"Ahart's whitlow-wort","Paronychia ahartii","https://ecos.fws.gov/ecp/species/4940","Species of Concern",,"CA"
"`Ahinahina","Argyroxiphium sandwicense ssp. macrocephalum","https://ecos.fws.gov/ecp/species/387","Threatened","05-15-1992","HI"
"`Ahinahina","Argyroxiphium sandwicense ssp. sandwicense","https://ecos.fws.gov/ecp/species/262","Endangered","03-21-1986","HI"
"Ahinahina long-horned beetle","Plagiithmysus swezeyanus","https://ecos.fws.gov/ecp/species/7843","Species of Concern",,"HI"
"A Hornwort","Aspiromitus appalachianus","https://ecos.fws.gov/ecp/species/10551","Species of Concern",,
"`Aiakeakua, popolo","Solanum sandwicense","https://ecos.fws.gov/ecp/species/7342","Endangered","02-25-1994","HI"
"`Aiea","Nothocestrum breviflorum","https://ecos.fws.gov/ecp/species/7493","Endangered","03-04-1994","HI"
"`Aiea","Nothocestrum latifolium","https://ecos.fws.gov/ecp/species/1061","Endangered","10-31-2016","HI"
"`Aiea","Nothocestrum longifolium","https://ecos.fws.gov/ecp/species/1062","Resolved Taxon",,"HI"
"`Aiea","Nothocestrum peltatum","https://ecos.fws.gov/ecp/species/5366","Endangered","02-25-1994","HI"
"Ajo rock-daisy","Perityle ajoensis","https://ecos.fws.gov/ecp/species/3477","Resolved Taxon",,"AZ"
"Akekee","Loxops caeruleirostris","https://ecos.fws.gov/ecp/species/153","Endangered","05-13-2010","HI"
"akiapolaau","Hemignathus wilsoni","https://ecos.fws.gov/ecp/species/1816","Endangered","03-11-1967","HI"
"Akikiki","Oreomystis bairdi","https://ecos.fws.gov/ecp/species/6617","Endangered","05-13-2010","HI"
"`Akoko","Chamaesyce arnottiana","https://ecos.fws.gov/ecp/species/2531","Species of Concern",,"HI"
"`Akoko","Chamaesyce atrococca","https://ecos.fws.gov/ecp/species/4214","Species of Concern",,"HI"
"`Akoko","Chamaesyce celastroides tomentella","https://ecos.fws.gov/ecp/species/7748","Species of Concern",,"HI"
"`Akoko","Chamaesyce olowaluana","https://ecos.fws.gov/ecp/species/1743","Species of Concern",,"HI"
"`Akoko","Chamaesyce remyi hanaleiensis","https://ecos.fws.gov/ecp/species/8127","Resolved Taxon",,"HI"
"`Akoko","Chamaesyce skottsbergii vaccinioides","https://ecos.fws.gov/ecp/species/4006","Species of Concern",,"HI"
"`Akoko","Chamaesyce sparsiflora","https://ecos.fws.gov/ecp/species/4215","Species of Concern",,"HI"
"`Akoko","Euphorbia celastroides var. kaenana","https://ecos.fws.gov/ecp/species/3842","Endangered","10-29-1991","HI"
"`Akoko","Euphorbia deppeana","https://ecos.fws.gov/ecp/species/6446","Endangered","03-28-1994","HI"
"`Akoko","Euphorbia eleanoriae","https://ecos.fws.gov/ecp/species/1368","Endangered","05-13-2010","HI"
"`Akoko","Euphorbia haeleeleana","https://ecos.fws.gov/ecp/species/8432","Endangered","10-10-1996","HI"
"`Akoko","Euphorbia herbstii","https://ecos.fws.gov/ecp/species/6481","Endangered","10-10-1996","HI"
